"Date","Manip","Area","AirTemperature","PAR","RH","VPD"
2013-01-23 08:00:00,"ZA13","05_p",10.6,0.2,62,0.48750195380136
2013-01-23 08:00:00,"ZA13","06_p",10.9,0.6,62,0.497334278504546
2013-01-23 08:15:00,"ZA13","01_p",10.8,0.1,62.6,0.486237016459945
2013-01-23 08:15:00,"ZA13","02_p",10.9,0,61.9,0.498643052921663
2013-01-23 08:15:00,"ZA13","04_p",10.6,0.1,63.4,0.469541355503415
2013-01-23 08:15:00,"ZA13","05_p",10.7,0.6,62,0.490760200840674
2013-01-23 08:15:00,"ZA13","06_p",10.9,1,62.1,0.496025504087429
2013-01-23 08:30:00,"ZA13","01_p",10.8,0.3,62.6,0.486237016459945
2013-01-23 08:30:00,"ZA13","02_p",11,0,61.8,0.503285303722167
2013-01-23 08:30:00,"ZA13","04_p",10.7,0.1,63.4,0.472679561862333
2013-01-23 08:30:00,"ZA13","05_p",10.7,1,61.9,0.492051675053412
2013-01-23 08:30:00,"ZA13","06_p",10.8,1,61.9,0.495337709281388
2013-01-23 08:45:00,"ZA13","01_p",11,0.2,62.7,0.491427796566409
2013-01-23 08:45:00,"ZA13","02_p",10.9,0,62,0.497334278504546
2013-01-23 08:45:00,"ZA13","04_p",10.7,0.1,63.4,0.472679561862333
2013-01-23 08:45:00,"ZA13","05_p",10.9,0.6,61.8,0.499951827338781
2013-01-23 08:45:00,"ZA13","06_p",10.9,1.2,62,0.497334278504546
2013-01-23 09:00:00,"ZA13","01_p",10.8,0.1,62.7,0.484936917485453
2013-01-23 09:00:00,"ZA13","02_p",10.9,0,61.7,0.501260601755898
2013-01-23 09:00:00,"ZA13","04_p",10.7,0.1,63.3,0.473971036075072
2013-01-23 09:00:00,"ZA13","05_p",10.7,0.7,62,0.490760200840674
2013-01-23 09:00:00,"ZA13","06_p",11,1.1,62,0.500650302131999
2013-01-23 09:15:00,"ZA13","01_p",10.8,0.1,62.7,0.484936917485453
2013-01-23 09:15:00,"ZA13","02_p",11,0,61.9,0.501967802927083
2013-01-23 09:15:00,"ZA13","04_p",10.8,0,63.4,0.47583622466401
2013-01-23 09:15:00,"ZA13","05_p",10.8,0.4,62.2,0.491437412357912
2013-01-23 09:15:00,"ZA13","06_p",11.1,0.6,62,0.503985778282671
2013-01-23 09:30:00,"ZA13","01_p",10.9,0.4,62.8,0.486864083167608
2013-01-23 09:30:00,"ZA13","02_p",10.9,0,62.2,0.494716729670312
2013-01-23 09:30:00,"ZA13","04_p",10.8,0.3,63.4,0.47583622466401
2013-01-23 09:30:00,"ZA13","05_p",10.7,1.5,62.2,0.488177252415196
2013-01-23 09:30:00,"ZA13","06_p",11,0.8,62.1,0.499332801336914
2013-01-23 09:45:00,"ZA13","01_p",10.9,1.5,63,0.484246534333374
2013-01-23 09:45:00,"ZA13","02_p",10.9,0,62.4,0.492099180836077
2013-01-23 09:45:00,"ZA13","04_p",10.7,0.7,63.7,0.468805139224117
2013-01-23 09:45:00,"ZA13","05_p",10.7,3.4,62.4,0.485594303989719
2013-01-23 09:45:00,"ZA13","06_p",11,3.9,62.4,0.495380298951662
2013-01-23 10:00:00,"ZA13","01_p",10.7,1.5,63.1,0.476553984500549
2013-01-23 10:00:00,"ZA13","02_p",11,0,62.6,0.492745297361493
2013-01-23 10:00:00,"ZA13","04_p",10.8,0.7,63.8,0.470635828766043
2013-01-23 10:00:00,"ZA13","05_p",10.9,2.5,62.4,0.492099180836077
2013-01-23 10:00:00,"ZA13","06_p",10.9,2.2,62.4,0.492099180836077
2013-01-23 10:15:00,"ZA13","01_p",10.9,0.2,63.3,0.480320211082022
2013-01-23 10:15:00,"ZA13","02_p",10.9,0,62.9,0.485555308750491
2013-01-23 10:15:00,"ZA13","04_p",10.8,0.4,63.9,0.469335729791551
2013-01-23 10:15:00,"ZA13","05_p",10.7,1.8,62.7,0.481719881351503
2013-01-23 10:15:00,"ZA13","06_p",10.9,1.9,62.5,0.49079040641896
2013-01-23 10:30:00,"ZA13","01_p",10.7,2.7,63.5,0.471388087649595
2013-01-23 10:30:00,"ZA13","02_p",10.8,0,62.8,0.483636818510961
2013-01-23 10:30:00,"ZA13","04_p",10.8,1.6,64.1,0.466735531842568
2013-01-23 10:30:00,"ZA13","05_p",10.6,5.4,62.5,0.481087454409237
2013-01-23 10:30:00,"ZA13","06_p",11.1,3.8,62.7,0.494701829735359
2013-01-23 10:45:00,"ZA13","01_p",10.8,7.5,63.5,0.474536125689519
2013-01-23 10:45:00,"ZA13","02_p",10.8,0,63,0.481036620561978
2013-01-23 10:45:00,"ZA13","04_p",10.8,5.8,64.1,0.466735531842568
2013-01-23 10:45:00,"ZA13","05_p",10.7,10.7,62.9,0.479136932926026
2013-01-23 10:45:00,"ZA13","06_p",11.1,7.7,62.7,0.494701829735359
2013-01-23 11:00:00,"ZA13","01_p",10.9,8,63.5,0.477702662247788
2013-01-23 11:00:00,"ZA13","02_p",11,0,62.9,0.488792794976241
2013-01-23 11:00:00,"ZA13","04_p",10.8,6,64,0.468035630817059
2013-01-23 11:00:00,"ZA13","05_p",10.7,10.5,62.6,0.483011355564242
2013-01-23 11:00:00,"ZA13","06_p",11,8.7,62.6,0.492745297361493
2013-01-23 11:15:00,"ZA13","01_p",10.9,8.7,63.5,0.477702662247788
2013-01-23 11:15:00,"ZA13","02_p",10.9,0,63.1,0.482937759916257
2013-01-23 11:15:00,"ZA13","04_p",10.8,6.5,64,0.468035630817059
2013-01-23 11:15:00,"ZA13","05_p",10.8,11.5,62.6,0.486237016459945
2013-01-23 11:15:00,"ZA13","06_p",11.1,9.6,62.5,0.497354386463163
2013-01-23 11:30:00,"ZA13","01_p",11,16.7,63.4,0.48220529100082
2013-01-23 11:30:00,"ZA13","02_p",11.1,0,63,0.490722994643654
2013-01-23 11:30:00,"ZA13","04_p",11,15.4,64.1,0.47298278543523
2013-01-23 11:30:00,"ZA13","05_p",10.9,18.3,62.8,0.486864083167608
2013-01-23 11:30:00,"ZA13","06_p",11.3,17.2,62.6,0.502651549901654
2013-01-23 11:45:00,"ZA13","01_p",11,30.5,63.2,0.484840292590988
2013-01-23 11:45:00,"ZA13","02_p",11.2,2.7,62.7,0.497995052785363
2013-01-23 11:45:00,"ZA13","04_p",11,27.8,63.8,0.476935287820483
2013-01-23 11:45:00,"ZA13","05_p",11.1,31.1,62.4,0.498680664827064
2013-01-23 11:45:00,"ZA13","06_p",11.5,29,62.4,0.512076541101407
2013-01-23 12:00:00,"ZA13","01_p",11.3,33.8,63.1,0.495931609394947
2013-01-23 12:00:00,"ZA13","02_p",11.5,4.1,62.7,0.507990824018151
2013-01-23 12:00:00,"ZA13","04_p",11.3,31.4,63.4,0.491899645090923
2013-01-23 12:00:00,"ZA13","05_p",11.2,33.9,62.1,0.506005697066093
2013-01-23 12:00:00,"ZA13","06_p",11.7,31.4,61.9,0.525792658706204
2013-01-23 12:15:00,"ZA13","01_p",11.4,28.8,63,0.500580690896749
2013-01-23 12:15:00,"ZA13","02_p",11.5,0.8,62.5,0.510714635406988
2013-01-23 12:15:00,"ZA13","04_p",11.5,26.9,62.8,0.506628918323732
2013-01-23 12:15:00,"ZA13","05_p",11.5,29.6,61.6,0.522971786656756
2013-01-23 12:15:00,"ZA13","06_p",11.9,26.3,61.6,0.536975152008754
2013-01-23 12:30:00,"ZA13","01_p",11.5,38.6,62.9,0.505267012629314
2013-01-23 12:30:00,"ZA13","02_p",11.8,8.2,61.8,0.530665374087927
2013-01-23 12:30:00,"ZA13","04_p",11.7,35.7,62.3,0.520272525806402
2013-01-23 12:30:00,"ZA13","05_p",11.6,38.2,61.2,0.531925917650817
2013-01-23 12:30:00,"ZA13","06_p",11.9,35.8,61.3,0.541170270383823
2013-01-23 12:45:00,"ZA13","01_p",11.8,42,62.1,0.526497844972054
2013-01-23 12:45:00,"ZA13","02_p",11.9,11.6,61.4,0.539771897592133
2013-01-23 12:45:00,"ZA13","04_p",12,40,61.8,0.537711890176064
2013-01-23 12:45:00,"ZA13","05_p",11.9,41.6,60.7,0.549560507133959
2013-01-23 12:45:00,"ZA13","06_p",12.1,39.6,60.8,0.555435192085958
2013-01-23 13:00:00,"ZA13","01_p",12.1,47,61.2,0.549767486044264
2013-01-23 13:00:00,"ZA13","02_p",12.3,15.4,61,0.559921640490616
2013-01-23 13:00:00,"ZA13","04_p",12.2,43.5,61.2,0.553398324950398
2013-01-23 13:00:00,"ZA13","05_p",12,45.3,60.3,0.558826231413344
2013-01-23 13:00:00,"ZA13","06_p",12.3,42.4,60.4,0.568535819575087
2013-01-23 13:15:00,"ZA13","01_p",12.3,30.2,60.9,0.561357337004695
2013-01-23 13:15:00,"ZA13","02_p",12.4,2.6,60.7,0.567949174542841
2013-01-23 13:15:00,"ZA13","04_p",12.4,27.2,60.6,0.569394337836843
2013-01-23 13:15:00,"ZA13","05_p",12.4,30.8,59.7,0.582400807482862
2013-01-23 13:15:00,"ZA13","06_p",12.5,29.2,60.1,0.580419296175458
2013-01-23 13:30:00,"ZA13","01_p",12.5,27.9,60.8,0.570236501505713
2013-01-23 13:30:00,"ZA13","02_p",12.5,1,60.6,0.573145871411354
2013-01-23 13:30:00,"ZA13","04_p",12.6,25.5,60.6,0.57691913423405
2013-01-23 13:30:00,"ZA13","05_p",12.5,28.7,59.7,0.586238035986741
2013-01-23 13:30:00,"ZA13","06_p",12.7,27.1,60,0.589557597663027
2013-01-23 13:45:00,"ZA13","01_p",12.3,22,60.8,0.562793033518773
2013-01-23 13:45:00,"ZA13","02_p",12.5,0.5,60.7,0.571691186458533
2013-01-23 13:45:00,"ZA13","04_p",12.7,20,60.8,0.577766445709767
2013-01-23 13:45:00,"ZA13","05_p",12.7,23.6,60,0.589557597663027
2013-01-23 13:45:00,"ZA13","06_p",12.6,22.3,60.3,0.581311919520096
2013-01-23 14:00:00,"ZA13","01_p",12.6,29,61.3,0.566669301899942
2013-01-23 14:00:00,"ZA13","02_p",12.5,1.6,61.1,0.565872446647251
2013-01-23 14:00:00,"ZA13","04_p",12.6,26.3,61,0.571062087185988
2013-01-23 14:00:00,"ZA13","05_p",12.6,28.9,60.2,0.582776181282111
2013-01-23 14:00:00,"ZA13","06_p",12.6,26.3,60.6,0.57691913423405
2013-01-23 14:15:00,"ZA13","01_p",12.5,29.8,61.6,0.558599021883147
2013-01-23 14:15:00,"ZA13","02_p",12.6,1.6,61.1,0.569597825423973
2013-01-23 14:15:00,"ZA13","04_p",12.7,27.8,61.4,0.568923081744821
2013-01-23 14:15:00,"ZA13","05_p",12.6,29.7,60.3,0.581311919520096
2013-01-23 14:15:00,"ZA13","06_p",12.9,27.3,60.5,0.589863700101221
2013-01-23 14:30:00,"ZA13","01_p",15.4,17.9,52.8,0.828803934956905
2013-01-23 14:30:00,"ZA13","02_p",15.2,0,52.3,0.826894875613857
2013-01-23 14:30:00,"ZA13","04_p",15.6,19.7,52.3,0.848393578809985
2013-01-23 14:30:00,"ZA13","05_p",15.8,21.6,50,0.900760867435831
2013-01-23 14:30:00,"ZA13","06_p",15.9,19,50.6,0.895660587785824
2013-01-23 14:45:00,"ZA13","01_p",17.6,9.1,45.9,1.09268327275572
